[28-Sep-2016 17:27:22 PRC] PHP Parse error:  syntax error, unexpected '$db' (T_VARIABLE), expecting function (T_FUNCTION) in E:\www\system\controller.php on line 5
[28-Sep-2016 17:28:38 PRC] PHP Parse error:  syntax error, unexpected '$db' (T_VARIABLE), expecting function (T_FUNCTION) in E:\www\system\controller.php on line 5
[28-Sep-2016 17:29:33 PRC] PHP Parse error:  syntax error, unexpected '$conn' (T_VARIABLE), expecting function (T_FUNCTION) in E:\www\system\db.php on line 6
[28-Sep-2016 17:53:33 PRC] PHP Warning:  require(E:\www\tester\app/template/index.html): failed to open stream: No such file or directory in E:\www\system\controller.php on line 16
[28-Sep-2016 17:53:33 PRC] PHP Fatal error:  require(): Failed opening required 'E:\www\tester\app/template/index.html' (include_path='.;C:\php\pear') in E:\www\system\controller.php on line 16
[28-Sep-2016 18:20:23 PRC] PHP Warning:  mysqli_error() expects exactly 1 parameter, 0 given in E:\www\tester\app\controller\index.php on line 30
[29-Sep-2016 10:54:12 PRC] PHP Notice:  Undefined offset: 0 in E:\www\tester\app\controller\index.php on line 40
[29-Sep-2016 10:54:12 PRC] PHP Notice:  Undefined index:  in E:\www\tester\app\controller\index.php on line 48
[29-Sep-2016 10:54:12 PRC] PHP Warning:  Invalid argument supplied for foreach() in E:\www\tester\app\template\main.html on line 36
[29-Sep-2016 10:56:32 PRC] PHP Notice:  Undefined offset: 0 in E:\www\tester\app\controller\index.php on line 42
[29-Sep-2016 10:56:32 PRC] PHP Notice:  Undefined index:  in E:\www\tester\app\controller\index.php on line 53
[29-Sep-2016 10:56:32 PRC] PHP Warning:  Invalid argument supplied for foreach() in E:\www\tester\app\template\main.html on line 36
[29-Sep-2016 14:21:02 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:13 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:14 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:14 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:15 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:18 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:18 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:19 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:19 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:19 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:19 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:35 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:35 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:36 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:36 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:37 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:52 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:53 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:53 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:21:53 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:22:01 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:22:01 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:22:01 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:22:20 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:22:20 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:26:39 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:26:50 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:28:45 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:28:52 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:28:53 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:28:53 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:28:58 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:29:01 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:29:01 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
[29-Sep-2016 14:29:01 PRC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in E:\www\system\db.php on line 22
